solar,demand,wind_big,wind_small,ecar,heatpump
0.00084645,-3293.88,10.393633124955159,1.9130854775184907,1205.4794520548558,-3293.88
0.0,-3512.1000000000004,10.393633124955159,1.9130854775184907,602.7397260274279,-3512.1000000000004
0.0,-4719.66,10.393633124955159,1.9130854775184907,3013.698630137139,-4719.66
0.0,-5036.1,10.393633124955159,1.9130854775184907,9041.095890411418,-5036.1
0.0,-4431.33,10.393633124955159,1.9130854775184907,12054.794520548556,-4431.33
0.0,-4133.87,10.393633124955159,1.9130854775184907,12054.794520548556,-4133.87
0.0,-3525.99,0.0,0.0,9041.095890411418,-3525.99
0.0,-3185.83,10.393633124955159,1.9130854775184907,6027.397260274278,-3185.83
0.0,-2775.6599999999994,10.393633124955159,1.9130854775184907,3013.698630137139,-2775.6599999999994
0.0,-2725.3,183.3870138303464,3.565397576789404,0.0,-2725.3
